ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,121.051,2021-02-05 05:39:42,0.0
0.2,0.0,138.852,2021-02-05 05:39:43,0.0
0.2,0.0,119.489,2021-02-05 05:39:44,0.0
0.2,0.0,149.532,2021-02-05 05:39:45,0.0
0.2,0.0,131.634,2021-02-05 05:39:46,0.0
0.2,0.0,119.729,2021-02-05 05:39:47,0.0
0.2,0.0,127.573,2021-02-05 05:39:48,0.0
0.2,0.0,138.688,2021-02-05 05:39:49,0.0
0.2,0.0,116.138,2021-02-05 05:39:50,0.0
0.2,0.0,132.405,2021-02-05 05:39:51,0.0
0.2,0.0,127.01,2021-02-05 05:39:52,0.0
0.2,0.0,142.317,2021-02-05 05:39:53,0.0
0.2,0.0,144.368,2021-02-05 05:39:54,0.0
0.2,0.0,140.522,2021-02-05 05:39:55,0.0
0.2,0.0,104.277,2021-02-05 05:39:56,0.0
0.2,0.0,144.913,2021-02-05 05:39:57,0.0
0.2,0.0,137.954,2021-02-05 05:39:58,0.0
0.2,0.0,94.088,2021-02-05 05:39:59,0.0
0.2,0.0,143.539,2021-02-05 05:40:00,0.0
0.2,0.0,123.789,2021-02-05 05:40:01,0.0
0.2,0.0,139.373,2021-02-05 05:40:02,0.0
0.2,0.0,120.784,2021-02-05 05:40:03,0.0
0.2,0.0,131.716,2021-02-05 05:40:04,0.0
0.2,0.0,156.474,2021-02-05 05:40:05,0.0
0.2,0.0,122.674,2021-02-05 05:40:06,0.0
0.2,0.0,119.538,2021-02-05 05:40:07,0.0
0.2,0.0,133.14,2021-02-05 05:40:08,0.0
0.2,0.0,126.718,2021-02-05 05:40:09,0.0
0.2,0.0,120.123,2021-02-05 05:40:10,0.0
0.2,0.0,138.941,2021-02-05 05:40:11,0.0
0.2,0.0,127.415,2021-02-05 05:40:12,0.0
0.2,0.0,130.259,2021-02-05 05:40:13,0.0
0.2,0.0,147.661,2021-02-05 05:40:14,0.0
0.2,0.0,140.859,2021-02-05 05:40:15,0.0
0.2,0.0,113.282,2021-02-05 05:40:16,0.0
0.2,0.0,133.503,2021-02-05 05:40:17,0.0
0.2,0.0,119.949,2021-02-05 05:40:18,0.0
0.2,0.0,122.33,2021-02-05 05:40:19,0.0
0.2,0.0,129.495,2021-02-05 05:40:20,0.0
0.2,0.0,147.117,2021-02-05 05:40:21,0.0
0.2,0.0,139.329,2021-02-05 05:40:22,0.0
0.2,0.0,122.195,2021-02-05 05:40:23,0.0
0.2,0.0,157.29,2021-02-05 05:40:24,0.0
0.2,0.0,162.614,2021-02-05 05:40:25,0.0
0.2,0.0,131.833,2021-02-05 05:40:26,0.0
0.2,0.0,140.596,2021-02-05 05:40:27,0.0
0.2,0.0,122.846,2021-02-05 05:40:28,0.0
0.2,0.0,147.001,2021-02-05 05:40:29,0.0
0.2,0.0,146.094,2021-02-05 05:40:30,0.0
0.2,0.0,132.126,2021-02-05 05:40:31,0.0
0.2,0.0,138.748,2021-02-05 05:40:32,0.0
0.2,0.0,123.625,2021-02-05 05:40:33,0.0
0.2,0.0,125.324,2021-02-05 05:40:34,0.0
0.2,0.0,136.282,2021-02-05 05:40:35,0.0
0.2,0.0,110.888,2021-02-05 05:40:36,0.0
0.2,0.0,106.562,2021-02-05 05:40:37,0.0
0.2,0.0,141.34,2021-02-05 05:40:38,0.0
0.2,0.0,142.978,2021-02-05 05:40:39,0.0
0.2,0.0,151.073,2021-02-05 05:40:40,0.0
0.2,0.0,155.672,2021-02-05 05:40:41,0.0
0.2,0.0,147.395,2021-02-05 05:40:42,0.0
0.2,0.0,143.218,2021-02-05 05:40:43,0.0
0.2,0.0,94.58,2021-02-05 05:40:44,0.0
0.2,0.0,131.388,2021-02-05 05:40:45,0.0
0.2,0.0,136.938,2021-02-05 05:40:46,0.0
0.2,0.0,127.566,2021-02-05 05:40:47,0.0
0.2,0.0,111.409,2021-02-05 05:40:48,0.0
0.2,0.0,123.458,2021-02-05 05:40:49,0.0
0.2,0.0,116.194,2021-02-05 05:40:50,0.0
0.2,0.0,137.222,2021-02-05 05:40:51,0.0
0.2,0.0,139.278,2021-02-05 05:40:52,0.0
0.2,0.0,121.744,2021-02-05 05:40:53,0.0
0.2,0.0,150.221,2021-02-05 05:40:54,0.0
0.2,0.0,127.472,2021-02-05 05:40:55,0.0
0.2,0.0,129.806,2021-02-05 05:40:56,0.0
0.2,0.0,129.141,2021-02-05 05:40:57,0.0
0.2,0.0,110.027,2021-02-05 05:40:58,0.0
0.2,0.0,119.251,2021-02-05 05:40:59,0.0
0.2,0.0,167.754,2021-02-05 05:41:00,0.0
0.2,0.0,140.614,2021-02-05 05:41:01,0.0
0.2,0.0,135.962,2021-02-05 05:41:02,0.0
0.2,0.0,143.313,2021-02-05 05:41:03,0.0
0.2,0.0,145.874,2021-02-05 05:41:04,0.0
0.2,0.0,134.315,2021-02-05 05:41:05,0.0
