ccn_sursaturation,ccn_flag,ccn_conc,datetime,pollution_flag
0.2,0.0,138.888,2021-02-06 10:56:21,0.0
0.2,0.0,144.896,2021-02-06 10:56:50,0.0
0.2,0.0,166.547,2021-02-06 10:56:52,0.0
0.2,0.0,131.006,2021-02-06 10:56:54,0.0
0.2,0.0,150.813,2021-02-06 10:56:59,0.0
0.2,0.0,148.791,2021-02-06 10:57:01,0.0
0.2,0.0,156.014,2021-02-06 10:57:05,0.0
0.2,0.0,149.459,2021-02-06 10:57:07,0.0
0.2,0.0,149.185,2021-02-06 10:57:14,0.0
0.2,0.0,144.579,2021-02-06 10:57:56,0.0
0.2,0.0,128.741,2021-02-06 10:58:06,0.0
0.2,0.0,153.183,2021-02-06 10:58:20,0.0
0.4,0.0,177.641,2021-02-06 11:01:37,0.0
0.4,0.0,183.402,2021-02-06 11:01:43,0.0
0.6,0.0,233.535,2021-02-06 11:07:29,0.0
0.6,0.0,255.465,2021-02-06 11:07:30,0.0
0.6,0.0,226.394,2021-02-06 11:07:36,0.0
0.6,0.0,224.659,2021-02-06 11:07:37,0.0
0.6,0.0,236.393,2021-02-06 11:07:38,0.0
0.6,0.0,202.36,2021-02-06 11:07:42,0.0
0.6,0.0,175.893,2021-02-06 11:07:48,0.0
0.6,0.0,204.599,2021-02-06 11:07:55,0.0
0.6,0.0,258.57,2021-02-06 11:07:57,0.0
0.6,0.0,237.149,2021-02-06 11:08:03,0.0
0.6,0.0,213.741,2021-02-06 11:08:04,0.0
0.6,0.0,261.077,2021-02-06 11:08:05,0.0
0.6,0.0,219.158,2021-02-06 11:08:06,0.0
0.6,0.0,217.685,2021-02-06 11:08:08,0.0
0.6,0.0,273.398,2021-02-06 11:08:18,0.0
0.6,0.0,200.244,2021-02-06 11:08:36,0.0
0.8,0.0,229.673,2021-02-06 11:10:32,0.0
0.8,0.0,237.53,2021-02-06 11:10:33,0.0
0.8,0.0,255.02,2021-02-06 11:10:35,0.0
0.8,0.0,227.424,2021-02-06 11:10:40,0.0
0.8,0.0,258.449,2021-02-06 11:10:41,0.0
0.8,0.0,212.969,2021-02-06 11:10:46,0.0
0.8,0.0,242.929,2021-02-06 11:10:52,0.0
0.8,0.0,268.252,2021-02-06 11:10:53,0.0
