#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-05 00:00:00;2021-02-05 05:39:41;Local contamination;nan
2021-02-05 05:48:39;2021-02-05 05:56:01;Missing due to calibration or zero/span check;nan
2021-02-05 05:57:01;2021-02-05 06:14:39;Local contamination;nan
2021-02-05 06:15:01;2021-02-05 06:16:01;Local contamination;130.00332786885247
2021-02-05 06:23:39;2021-02-05 06:25:40;Missing due to calibration or zero/span check;nan
2021-02-05 06:28:39;2021-02-05 06:29:45;Missing due to calibration or zero/span check;nan
2021-02-05 06:29:55;2021-02-05 06:29:55;Missing due to calibration or zero/span check;298.188
2021-02-05 06:33:17;2021-02-05 06:33:17;Missing due to calibration or zero/span check;298.694
2021-02-05 06:33:39;2021-02-05 06:35:27;Missing due to calibration or zero/span check;nan
2021-02-05 06:35:52;2021-02-05 06:35:53;Missing due to calibration or zero/span check;360.491
2021-02-05 06:38:39;2021-02-05 06:40:06;Missing due to calibration or zero/span check;nan
2021-02-05 06:41:23;2021-02-05 06:41:23;Missing due to calibration or zero/span check;373.746
2021-02-05 06:41:33;2021-02-05 06:41:33;Missing due to calibration or zero/span check;383.686
2021-02-05 06:43:39;2021-02-05 06:49:38;Missing due to calibration or zero/span check;nan
2021-02-05 06:51:01;2021-02-05 06:52:01;Local contamination;170.84634426229508
2021-02-05 06:57:01;2021-02-05 06:58:01;Local contamination;173.70134426229507
2021-02-05 06:58:39;2021-02-05 07:01:13;Missing due to calibration or zero/span check;nan
2021-02-05 07:03:39;2021-02-05 07:05:24;Missing due to calibration or zero/span check;nan
2021-02-05 07:07:01;2021-02-05 07:08:01;Local contamination;255.38968852459018
2021-02-05 07:08:39;2021-02-05 07:10:07;Missing due to calibration or zero/span check;nan
2021-02-05 07:12:27;2021-02-05 07:12:27;Missing due to calibration or zero/span check;466.815
2021-02-05 07:13:39;2021-02-05 07:15:22;Missing due to calibration or zero/span check;nan
2021-02-05 07:17:55;2021-02-05 07:17:55;Missing due to calibration or zero/span check;384.815
2021-02-05 07:18:39;2021-02-05 07:26:01;Missing due to calibration or zero/span check;nan
2021-02-05 07:33:01;2021-02-05 07:36:23;Local contamination;nan
2021-02-05 07:38:39;2021-02-05 07:39:55;Missing due to calibration or zero/span check;nan
